,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
68,69,"[10.75884, 59.936993]","[10.767574, 59.94153]","[10.763207, 59.939261]","[10.767574, 59.936993]",17.0
69,70,"[10.750106, 59.936993]","[10.75884, 59.94153]","[10.754473, 59.939261]","[10.750106, 59.936993]",18.0
70,71,"[10.741372, 59.936993]","[10.750106, 59.94153]","[10.745739, 59.939261]","[10.750106, 59.936993]",18.0
71,72,"[10.732638, 59.936993]","[10.741372, 59.94153]","[10.737005, 59.939261]","[10.732638, 59.936993]",19.0
72,73,"[10.723904, 59.936993]","[10.732638, 59.94153]","[10.728271, 59.939261]","[10.732638, 59.936993]",19.0
73,74,"[10.71517, 59.936993]","[10.723904, 59.94153]","[10.719537, 59.939261]","[10.71517, 59.94153]",13.0
74,75,"[10.706436, 59.936993]","[10.71517, 59.94153]","[10.710803, 59.939261]","[10.71517, 59.94153]",13.0
75,76,"[10.697702, 59.936993]","[10.706436, 59.94153]","[10.702069, 59.939261]","[10.697702, 59.936993]",20.0
76,77,"[10.688968, 59.936993]","[10.697702, 59.94153]","[10.693335, 59.939261]","[10.697702, 59.936993]",20.0
77,78,"[10.680234, 59.936993]","[10.688968, 59.94153]","[10.684601, 59.939261]","[10.684601, 59.939261]",59.0
78,79,"[10.863649, 59.932456]","[10.872383, 59.936993]","[10.868016, 59.934724]","[10.868016, 59.934724]",60.0
79,80,"[10.828713, 59.932456]","[10.837447, 59.936993]","[10.83308, 59.934724]","[10.828713, 59.936993]",14.0
80,81,"[10.819979, 59.932456]","[10.828713, 59.936993]","[10.824346, 59.934724]","[10.828713, 59.936993]",14.0
81,82,"[10.811245, 59.932456]","[10.819979, 59.936993]","[10.815612, 59.934724]","[10.811245, 59.936993]",15.0
82,83,"[10.802511, 59.932456]","[10.811245, 59.936993]","[10.806878, 59.934724]","[10.811245, 59.936993]",15.0
83,84,"[10.793777, 59.932456]","[10.802511, 59.936993]","[10.798144, 59.934724]","[10.793777, 59.936993]",16.0
84,85,"[10.785043, 59.932456]","[10.793777, 59.936993]","[10.78941, 59.934724]","[10.793777, 59.936993]",16.0
85,86,"[10.776308, 59.932456]","[10.785043, 59.936993]","[10.780676, 59.934724]","[10.780676, 59.934724]",61.0
86,87,"[10.767574, 59.932456]","[10.776309, 59.936993]","[10.771941, 59.934724]","[10.767574, 59.936993]",17.0
87,88,"[10.75884, 59.932456]","[10.767574, 59.936993]","[10.763207, 59.934724]","[10.767574, 59.936993]",17.0
88,89,"[10.750106, 59.932456]","[10.75884, 59.936993]","[10.754473, 59.934724]","[10.750106, 59.936993]",18.0
89,90,"[10.741372, 59.932456]","[10.750106, 59.936993]","[10.745739, 59.934724]","[10.750106, 59.936993]",18.0
90,91,"[10.732638, 59.932456]","[10.741372, 59.936993]","[10.737005, 59.934724]","[10.732638, 59.936993]",19.0
