,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
10,4,Day,"{""0"": 299, ""1"": 54, ""2"": 9, ""3"": 2, ""4"": 1}","{""0"": 279, ""1"": 64, ""2"": 18, ""3"": 3, ""4"": 1}","[0.819, 0.148, 0.025, 0.005, 0.003]","[0.764, 0.175, 0.049, 0.008, 0.003]"
11,4,Evening,"{""0"": 260, ""1"": 71, ""2"": 23, ""3"": 7, ""4"": 4}","{""0"": 262, ""1"": 76, ""2"": 21, ""3"": 3, ""4"": 2, ""5"": 1}","[0.712, 0.195, 0.063, 0.019, 0.011]","[0.718, 0.208, 0.058, 0.008, 0.005, 0.003]"
12,5,Morning,"{""0"": 333, ""1"": 29, ""2"": 3}","{""0"": 358, ""1"": 6, ""2"": 1}","[0.912, 0.079, 0.008]","[0.981, 0.016, 0.003]"
13,5,Day,"{""0"": 326, ""1"": 37, ""2"": 2}","{""0"": 335, ""1"": 28, ""2"": 2}","[0.893, 0.101, 0.005]","[0.918, 0.077, 0.005]"
14,5,Evening,"{""0"": 317, ""1"": 42, ""2"": 6}","{""0"": 314, ""1"": 49, ""2"": 2}","[0.868, 0.115, 0.016]","[0.86, 0.134, 0.005]"
15,6,Morning,"{""0"": 332, ""1"": 31, ""2"": 2}","{""0"": 350, ""1"": 14, ""2"": 1}","[0.91, 0.085, 0.005]","[0.959, 0.038, 0.003]"
16,6,Day,"{""0"": 341, ""1"": 22, ""2"": 2}","{""0"": 331, ""1"": 32, ""2"": 2}","[0.934, 0.06, 0.005]","[0.907, 0.088, 0.005]"
17,6,Evening,"{""0"": 311, ""1"": 52, ""2"": 2}","{""0"": 303, ""1"": 54, ""2"": 7, ""3"": 1}","[0.852, 0.142, 0.005]","[0.83, 0.148, 0.019, 0.003]"
18,7,Morning,"{""0"": 327, ""1"": 36, ""2"": 2}","{""0"": 327, ""1"": 36, ""2"": 2}","[0.896, 0.099, 0.005]","[0.896, 0.099, 0.005]"
19,7,Day,"{""0"": 264, ""1"": 77, ""2"": 15, ""3"": 7, ""4"": 1, ""5"": 1}","{""0"": 260, ""1"": 65, ""2"": 22, ""3"": 9, ""4"": 3, ""5"": 2, ""6"": 2, ""7"": 1, ""8"": 1}","[0.723, 0.211, 0.041, 0.019, 0.003, 0.003]","[0.712, 0.178, 0.06, 0.025, 0.008, 0.005, 0.005, 0.003, 0.003]"
20,7,Evening,"{""0"": 201, ""1"": 104, ""2"": 35, ""3"": 16, ""4"": 7, ""5"": 2}","{""0"": 185, ""1"": 121, ""2"": 43, ""3"": 13, ""4"": 3}","[0.551, 0.285, 0.096, 0.044, 0.019, 0.005]","[0.507, 0.332, 0.118, 0.036, 0.008]"
21,8,Morning,"{""0"": 295, ""1"": 65, ""2"": 5}","{""0"": 341, ""1"": 24}","[0.808, 0.178, 0.014]","[0.934, 0.066]"
22,8,Day,"{""0"": 292, ""1"": 56, ""2"": 14, ""3"": 2, ""5"": 1, ""4"": 0}","{""0"": 284, ""1"": 58, ""2"": 13, ""3"": 8, ""4"": 1, ""5"": 1}","[0.8, 0.153, 0.038, 0.005, 0.0, 0.003]","[0.778, 0.159, 0.036, 0.022, 0.003, 0.003]"
23,8,Evening,"{""0"": 233, ""1"": 80, ""2"": 37, ""3"": 13, ""4"": 1, ""7"": 1, ""5"": 0, ""6"": 0}","{""0"": 216, ""1"": 96, ""2"": 35, ""3"": 16, ""4"": 1, ""8"": 1, ""5"": 0, ""6"": 0, ""7"": 0}","[0.638, 0.219, 0.101, 0.036, 0.003, 0.0, 0.0, 0.003]","[0.592, 0.263, 0.096, 0.044, 0.003, 0.0, 0.0, 0.0, 0.003]"
