,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
205,69,Day,"{""0"": 223, ""1"": 94, ""2"": 28, ""3"": 14, ""4"": 5, ""5"": 1}","{""0"": 254, ""1"": 80, ""2"": 21, ""3"": 9, ""6"": 1, ""4"": 0, ""5"": 0}","[0.611, 0.258, 0.077, 0.038, 0.014, 0.003]","[0.696, 0.219, 0.058, 0.025, 0.0, 0.0, 0.003]"
206,69,Evening,"{""0"": 143, ""1"": 120, ""2"": 64, ""3"": 25, ""4"": 8, ""5"": 4, ""6"": 1}","{""0"": 114, ""1"": 131, ""2"": 54, ""3"": 45, ""4"": 11, ""5"": 8, ""6"": 1, ""9"": 1, ""7"": 0, ""8"": 0}","[0.392, 0.329, 0.175, 0.068, 0.022, 0.011, 0.003]","[0.312, 0.359, 0.148, 0.123, 0.03, 0.022, 0.003, 0.0, 0.0, 0.003]"
207,70,Morning,"{""0"": 200, ""1"": 97, ""2"": 51, ""3"": 12, ""4"": 3, ""5"": 1, ""6"": 1}","{""0"": 259, ""1"": 69, ""2"": 28, ""3"": 9}","[0.548, 0.266, 0.14, 0.033, 0.008, 0.003, 0.003]","[0.71, 0.189, 0.077, 0.025]"
208,70,Day,"{""0"": 175, ""1"": 113, ""2"": 48, ""3"": 18, ""4"": 10, ""5"": 1}","{""0"": 204, ""1"": 110, ""2"": 36, ""3"": 14, ""4"": 1}","[0.479, 0.31, 0.132, 0.049, 0.027, 0.003]","[0.559, 0.301, 0.099, 0.038, 0.003]"
209,70,Evening,"{""0"": 119, ""1"": 98, ""2"": 78, ""3"": 42, ""4"": 16, ""5"": 8, ""6"": 4}","{""0"": 94, ""1"": 90, ""2"": 91, ""3"": 48, ""4"": 24, ""5"": 10, ""6"": 7, ""7"": 1}","[0.326, 0.268, 0.214, 0.115, 0.044, 0.022, 0.011]","[0.258, 0.247, 0.249, 0.132, 0.066, 0.027, 0.019, 0.003]"
210,71,Morning,"{""0"": 295, ""1"": 58, ""2"": 11, ""4"": 1, ""3"": 0}","{""0"": 317, ""1"": 44, ""2"": 4}","[0.808, 0.159, 0.03, 0.0, 0.003]","[0.868, 0.121, 0.011]"
211,71,Day,"{""0"": 312, ""1"": 51, ""2"": 2}","{""0"": 315, ""1"": 47, ""2"": 3}","[0.855, 0.14, 0.005]","[0.863, 0.129, 0.008]"
212,71,Evening,"{""0"": 268, ""1"": 71, ""2"": 23, ""3"": 3}","{""0"": 244, ""1"": 95, ""2"": 24, ""3"": 1, ""4"": 1}","[0.734, 0.195, 0.063, 0.008]","[0.668, 0.26, 0.066, 0.003, 0.003]"
213,72,Morning,"{""0"": 317, ""1"": 44, ""2"": 4}","{""0"": 352, ""1"": 12, ""2"": 1}","[0.868, 0.121, 0.011]","[0.964, 0.033, 0.003]"
214,72,Day,"{""0"": 321, ""1"": 39, ""2"": 4, ""3"": 1}","{""0"": 328, ""1"": 33, ""2"": 3, ""3"": 1}","[0.879, 0.107, 0.011, 0.003]","[0.899, 0.09, 0.008, 0.003]"
215,72,Evening,"{""0"": 297, ""1"": 58, ""2"": 7, ""3"": 2, ""5"": 1, ""4"": 0}","{""0"": 258, ""1"": 94, ""2"": 9, ""3"": 3, ""4"": 1}","[0.814, 0.159, 0.019, 0.005, 0.0, 0.003]","[0.707, 0.258, 0.025, 0.008, 0.003]"
216,73,Morning,"{""0"": 294, ""1"": 61, ""2"": 9, ""5"": 1, ""3"": 0, ""4"": 0}","{""0"": 277, ""1"": 70, ""2"": 16, ""3"": 1, ""4"": 1}","[0.805, 0.167, 0.025, 0.0, 0.0, 0.003]","[0.759, 0.192, 0.044, 0.003, 0.003]"
217,73,Day,"{""0"": 235, ""1"": 102, ""2"": 25, ""3"": 2, ""4"": 1}","{""0"": 223, ""1"": 108, ""2"": 31, ""3"": 2, ""5"": 1, ""4"": 0}","[0.644, 0.279, 0.068, 0.005, 0.003]","[0.611, 0.296, 0.085, 0.005, 0.0, 0.003]"
218,73,Evening,"{""0"": 142, ""1"": 134, ""2"": 64, ""3"": 19, ""4"": 6}","{""0"": 137, ""1"": 144, ""2"": 69, ""3"": 13, ""4"": 2}","[0.389, 0.367, 0.175, 0.052, 0.016]","[0.375, 0.395, 0.189, 0.036, 0.005]"
219,74,Morning,"{""0"": 323, ""1"": 36, ""2"": 6}","{""0"": 260, ""1"": 69, ""2"": 28, ""3"": 7, ""4"": 1}","[0.885, 0.099, 0.016]","[0.712, 0.189, 0.077, 0.019, 0.003]"
220,74,Day,"{""0"": 230, ""1"": 104, ""2"": 23, ""3"": 7, ""4"": 1}","{""0"": 243, ""1"": 106, ""2"": 13, ""3"": 3}","[0.63, 0.285, 0.063, 0.019, 0.003]","[0.666, 0.29, 0.036, 0.008]"
221,74,Evening,"{""0"": 233, ""1"": 85, ""2"": 34, ""3"": 11, ""4"": 2}","{""0"": 258, ""1"": 77, ""2"": 21, ""3"": 7, ""4"": 2}","[0.638, 0.233, 0.093, 0.03, 0.005]","[0.707, 0.211, 0.058, 0.019, 0.005]"
222,75,Morning,"{""0"": 268, ""1"": 78, ""2"": 16, ""3"": 1, ""4"": 2}","{""0"": 332, ""1"": 29, ""2"": 3, ""3"": 1}","[0.734, 0.214, 0.044, 0.003, 0.005]","[0.91, 0.079, 0.008, 0.003]"
223,75,Day,"{""0"": 307, ""1"": 52, ""2"": 6}","{""0"": 276, ""1"": 75, ""2"": 12, ""3"": 2}","[0.841, 0.142, 0.016]","[0.756, 0.205, 0.033, 0.005]"
224,75,Evening,"{""0"": 250, ""1"": 88, ""2"": 24, ""3"": 2, ""4"": 1}","{""0"": 210, ""1"": 104, ""2"": 38, ""3"": 8, ""4"": 4, ""5"": 1}","[0.685, 0.241, 0.066, 0.005, 0.003]","[0.575, 0.285, 0.104, 0.022, 0.011, 0.003]"
225,76,Morning,"{""0"": 326, ""1"": 32, ""2"": 7}","{""0"": 341, ""1"": 22, ""2"": 2}","[0.893, 0.088, 0.019]","[0.934, 0.06, 0.005]"
226,76,Day,"{""0"": 319, ""1"": 44, ""2"": 1, ""3"": 1}","{""0"": 318, ""1"": 40, ""2"": 7}","[0.874, 0.121, 0.003, 0.003]","[0.871, 0.11, 0.019]"
227,76,Evening,"{""0"": 316, ""1"": 40, ""2"": 7, ""3"": 2}","{""0"": 295, ""1"": 59, ""2"": 7, ""3"": 3, ""4"": 1}","[0.866, 0.11, 0.019, 0.005]","[0.808, 0.162, 0.019, 0.008, 0.003]"
228,77,Morning,"{""0"": 329, ""1"": 35, ""2"": 1}","{""0"": 361, ""1"": 4}","[0.901, 0.096, 0.003]","[0.989, 0.011]"
229,77,Day,"{""0"": 330, ""1"": 32, ""2"": 3}","{""0"": 342, ""1"": 20, ""2"": 3}","[0.904, 0.088, 0.008]","[0.937, 0.055, 0.008]"
230,77,Evening,"{""0"": 320, ""1"": 41, ""2"": 3, ""3"": 1}","{""0"": 310, ""1"": 49, ""2"": 5, ""4"": 1, ""3"": 0}","[0.877, 0.112, 0.008, 0.003]","[0.849, 0.134, 0.014, 0.0, 0.003]"
231,78,Morning,"{""0"": 350, ""1"": 15}","{""0"": 327, ""1"": 36, ""2"": 2}","[0.959, 0.041]","[0.896, 0.099, 0.005]"
232,78,Day,"{""0"": 331, ""1"": 33, ""2"": 1}","{""0"": 334, ""1"": 27, ""2"": 4}","[0.907, 0.09, 0.003]","[0.915, 0.074, 0.011]"
233,78,Evening,"{""0"": 299, ""1"": 57, ""2"": 8, ""3"": 1}","{""0"": 306, ""1"": 56, ""2"": 2, ""3"": 1}","[0.819, 0.156, 0.022, 0.003]","[0.838, 0.153, 0.005, 0.003]"
234,79,Morning,"{""0"": 341, ""1"": 20, ""2"": 3, ""3"": 1}","{""0"": 267, ""1"": 77, ""2"": 14, ""3"": 4, ""4"": 3}","[0.934, 0.055, 0.008, 0.003]","[0.732, 0.211, 0.038, 0.011, 0.008]"
235,79,Day,"{""0"": 210, ""1"": 80, ""2"": 43, ""3"": 23, ""4"": 8, ""9"": 1, ""5"": 0, ""6"": 0, ""7"": 0, ""8"": 0}","{""0"": 199, ""1"": 81, ""2"": 52, ""3"": 14, ""4"": 14, ""5"": 2, ""6"": 2, ""8"": 1, ""7"": 0}","[0.575, 0.219, 0.118, 0.063, 0.022, 0.0, 0.0, 0.0, 0.0, 0.003]","[0.545, 0.222, 0.142, 0.038, 0.038, 0.005, 0.005, 0.0, 0.003]"
236,79,Evening,"{""0"": 140, ""1"": 85, ""2"": 48, ""3"": 44, ""4"": 22, ""5"": 11, ""6"": 9, ""7"": 4, ""8"": 2}","{""0"": 143, ""1"": 88, ""2"": 59, ""3"": 35, ""4"": 26, ""5"": 8, ""6"": 4, ""7"": 1, ""8"": 1}","[0.384, 0.233, 0.132, 0.121, 0.06, 0.03, 0.025, 0.011, 0.005]","[0.392, 0.241, 0.162, 0.096, 0.071, 0.022, 0.011, 0.003, 0.003]"
237,80,Morning,"{""0"": 343, ""1"": 20, ""2"": 2}","{""0"": 359, ""1"": 6}","[0.94, 0.055, 0.005]","[0.984, 0.016]"
238,80,Day,"{""0"": 340, ""1"": 23, ""2"": 2}","{""0"": 346, ""1"": 18, ""2"": 1}","[0.932, 0.063, 0.005]","[0.948, 0.049, 0.003]"
239,80,Evening,"{""0"": 334, ""1"": 25, ""2"": 5, ""3"": 1}","{""0"": 340, ""1"": 21, ""2"": 2, ""3"": 1, ""4"": 1}","[0.915, 0.068, 0.014, 0.003]","[0.932, 0.058, 0.005, 0.003, 0.003]"
240,81,Morning,"{""0"": 324, ""1"": 36, ""2"": 4, ""3"": 1}","{""0"": 325, ""1"": 37, ""2"": 3}","[0.888, 0.099, 0.011, 0.003]","[0.89, 0.101, 0.008]"
241,81,Day,"{""0"": 289, ""1"": 69, ""2"": 7}","{""0"": 299, ""1"": 59, ""2"": 5, ""4"": 1, ""5"": 1, ""3"": 0}","[0.792, 0.189, 0.019]","[0.819, 0.162, 0.014, 0.0, 0.003, 0.003]"
242,81,Evening,"{""0"": 253, ""1"": 81, ""2"": 23, ""3"": 8}","{""0"": 257, ""1"": 75, ""2"": 22, ""3"": 10, ""4"": 1}","[0.693, 0.222, 0.063, 0.022]","[0.704, 0.205, 0.06, 0.027, 0.003]"
243,82,Morning,"{""0"": 334, ""1"": 29, ""2"": 2}","{""0"": 342, ""1"": 23}","[0.915, 0.079, 0.005]","[0.937, 0.063]"
244,82,Day,"{""0"": 289, ""1"": 64, ""2"": 9, ""3"": 3}","{""0"": 292, ""1"": 65, ""2"": 6, ""3"": 2}","[0.792, 0.175, 0.025, 0.008]","[0.8, 0.178, 0.016, 0.005]"
245,82,Evening,"{""0"": 224, ""1"": 107, ""2"": 28, ""3"": 5, ""4"": 1}","{""0"": 232, ""1"": 97, ""2"": 27, ""3"": 8, ""4"": 1}","[0.614, 0.293, 0.077, 0.014, 0.003]","[0.636, 0.266, 0.074, 0.022, 0.003]"
246,83,Morning,"{""0"": 329, ""1"": 33, ""2"": 3}","{""0"": 317, ""1"": 44, ""2"": 3, ""4"": 1, ""3"": 0}","[0.901, 0.09, 0.008]","[0.868, 0.121, 0.008, 0.0, 0.003]"
247,83,Day,"{""0"": 289, ""1"": 54, ""2"": 16, ""3"": 5, ""4"": 1}","{""0"": 295, ""1"": 54, ""2"": 15, ""3"": 1}","[0.792, 0.148, 0.044, 0.014, 0.003]","[0.808, 0.148, 0.041, 0.003]"
248,83,Evening,"{""0"": 211, ""1"": 102, ""2"": 38, ""3"": 6, ""4"": 6, ""5"": 2}","{""0"": 199, ""1"": 108, ""2"": 39, ""3"": 13, ""4"": 5, ""5"": 1}","[0.578, 0.279, 0.104, 0.016, 0.016, 0.005]","[0.545, 0.296, 0.107, 0.036, 0.014, 0.003]"
249,84,Morning,"{""0"": 304, ""1"": 48, ""2"": 12, ""3"": 1}","{""0"": 347, ""1"": 15, ""2"": 3}","[0.833, 0.132, 0.033, 0.003]","[0.951, 0.041, 0.008]"
250,84,Day,"{""0"": 284, ""1"": 69, ""2"": 9, ""3"": 3}","{""0"": 274, ""1"": 74, ""2"": 16, ""3"": 1}","[0.778, 0.189, 0.025, 0.008]","[0.751, 0.203, 0.044, 0.003]"
251,84,Evening,"{""0"": 251, ""1"": 83, ""2"": 24, ""3"": 5, ""4"": 1, ""5"": 1}","{""0"": 242, ""1"": 84, ""2"": 27, ""3"": 11, ""4"": 1}","[0.688, 0.227, 0.066, 0.014, 0.003, 0.003]","[0.663, 0.23, 0.074, 0.03, 0.003]"
252,85,Morning,"{""0"": 231, ""1"": 88, ""2"": 35, ""3"": 9, ""4"": 2}","{""0"": 259, ""1"": 86, ""2"": 18, ""3"": 2}","[0.633, 0.241, 0.096, 0.025, 0.005]","[0.71, 0.236, 0.049, 0.005]"
253,85,Day,"{""0"": 235, ""1"": 88, ""2"": 33, ""3"": 7, ""4"": 2}","{""0"": 254, ""1"": 86, ""2"": 18, ""3"": 5, ""4"": 2}","[0.644, 0.241, 0.09, 0.019, 0.005]","[0.696, 0.236, 0.049, 0.014, 0.005]"
254,85,Evening,"{""0"": 190, ""1"": 101, ""2"": 39, ""3"": 24, ""4"": 10, ""6"": 1, ""5"": 0}","{""0"": 158, ""1"": 110, ""2"": 59, ""3"": 21, ""4"": 11, ""5"": 4, ""6"": 2}","[0.521, 0.277, 0.107, 0.066, 0.027, 0.0, 0.003]","[0.433, 0.301, 0.162, 0.058, 0.03, 0.011, 0.005]"
255,86,Morning,"{""0"": 310, ""1"": 51, ""2"": 4}","{""0"": 336, ""1"": 26, ""2"": 3}","[0.849, 0.14, 0.011]","[0.921, 0.071, 0.008]"
256,86,Day,"{""0"": 302, ""1"": 53, ""2"": 8, ""3"": 2}","{""0"": 307, ""1"": 47, ""2"": 7, ""3"": 4}","[0.827, 0.145, 0.022, 0.005]","[0.841, 0.129, 0.019, 0.011]"
257,86,Evening,"{""0"": 268, ""1"": 79, ""2"": 14, ""3"": 2, ""4"": 2}","{""0"": 247, ""1"": 85, ""2"": 27, ""3"": 4, ""4"": 2}","[0.734, 0.216, 0.038, 0.005, 0.005]","[0.677, 0.233, 0.074, 0.011, 0.005]"
258,87,Morning,"{""0"": 213, ""1"": 115, ""2"": 29, ""3"": 8}","{""0"": 329, ""1"": 33, ""2"": 3}","[0.584, 0.315, 0.079, 0.022]","[0.901, 0.09, 0.008]"
259,87,Day,"{""0"": 237, ""1"": 92, ""2"": 20, ""3"": 8, ""4"": 8}","{""0"": 257, ""1"": 82, ""2"": 19, ""3"": 6, ""4"": 1}","[0.649, 0.252, 0.055, 0.022, 0.022]","[0.704, 0.225, 0.052, 0.016, 0.003]"
260,87,Evening,"{""0"": 162, ""1"": 120, ""2"": 57, ""3"": 18, ""4"": 5, ""5"": 2, ""6"": 1}","{""0"": 130, ""1"": 117, ""2"": 79, ""3"": 25, ""4"": 9, ""5"": 5}","[0.444, 0.329, 0.156, 0.049, 0.014, 0.005, 0.003]","[0.356, 0.321, 0.216, 0.068, 0.025, 0.014]"
261,88,Morning,"{""0"": 165, ""1"": 110, ""2"": 50, ""3"": 29, ""4"": 9, ""6"": 2, ""5"": 0}","{""0"": 237, ""1"": 89, ""2"": 25, ""3"": 12, ""4"": 2}","[0.452, 0.301, 0.137, 0.079, 0.025, 0.0, 0.005]","[0.649, 0.244, 0.068, 0.033, 0.005]"
262,88,Day,"{""0"": 150, ""1"": 101, ""2"": 53, ""3"": 37, ""4"": 13, ""5"": 6, ""6"": 3, ""7"": 1, ""9"": 1, ""8"": 0}","{""0"": 152, ""1"": 111, ""2"": 54, ""3"": 22, ""4"": 17, ""5"": 7, ""6"": 2}","[0.411, 0.277, 0.145, 0.101, 0.036, 0.016, 0.008, 0.003, 0.0, 0.003]","[0.416, 0.304, 0.148, 0.06, 0.047, 0.019, 0.005]"
263,88,Evening,"{""0"": 72, ""1"": 90, ""2"": 73, ""3"": 54, ""4"": 47, ""5"": 12, ""6"": 7, ""7"": 3, ""8"": 6, ""9"": 1}","{""0"": 69, ""1"": 65, ""2"": 66, ""3"": 54, ""4"": 41, ""5"": 28, ""6"": 22, ""7"": 8, ""8"": 6, ""9"": 4, ""10"": 1, ""11"": 1}","[0.197, 0.247, 0.2, 0.148, 0.129, 0.033, 0.019, 0.008, 0.016, 0.003]","[0.189, 0.178, 0.181, 0.148, 0.112, 0.077, 0.06, 0.022, 0.016, 0.011, 0.003, 0.003]"
264,89,Morning,"{""0"": 254, ""1"": 85, ""2"": 23, ""3"": 3}","{""0"": 284, ""1"": 65, ""2"": 16}","[0.696, 0.233, 0.063, 0.008]","[0.778, 0.178, 0.044]"
265,89,Day,"{""0"": 218, ""1"": 92, ""2"": 31, ""3"": 19, ""4"": 3, ""5"": 2}","{""0"": 222, ""1"": 98, ""2"": 31, ""3"": 8, ""4"": 5, ""5"": 1}","[0.597, 0.252, 0.085, 0.052, 0.008, 0.005]","[0.608, 0.268, 0.085, 0.022, 0.014, 0.003]"
266,89,Evening,"{""0"": 159, ""1"": 116, ""2"": 56, ""3"": 21, ""4"": 6, ""5"": 4, ""6"": 3}","{""0"": 158, ""1"": 102, ""2"": 70, ""3"": 23, ""4"": 8, ""5"": 4}","[0.436, 0.318, 0.153, 0.058, 0.016, 0.011, 0.008]","[0.433, 0.279, 0.192, 0.063, 0.022, 0.011]"
267,90,Morning,"{""0"": 315, ""1"": 49, ""2"": 1}","{""0"": 326, ""1"": 37, ""2"": 2}","[0.863, 0.134, 0.003]","[0.893, 0.101, 0.005]"
268,90,Day,"{""0"": 305, ""1"": 50, ""2"": 8, ""3"": 2}","{""0"": 314, ""1"": 45, ""2"": 4, ""3"": 2}","[0.836, 0.137, 0.022, 0.005]","[0.86, 0.123, 0.011, 0.005]"
269,90,Evening,"{""0"": 285, ""1"": 63, ""2"": 14, ""3"": 3}","{""0"": 279, ""1"": 70, ""2"": 11, ""3"": 2, ""4"": 3}","[0.781, 0.173, 0.038, 0.008]","[0.764, 0.192, 0.03, 0.005, 0.008]"
270,91,Morning,"{""0"": 277, ""1"": 73, ""2"": 13, ""3"": 2}","{""0"": 266, ""1"": 82, ""2"": 15, ""3"": 1, ""4"": 1}","[0.759, 0.2, 0.036, 0.005]","[0.729, 0.225, 0.041, 0.003, 0.003]"
271,91,Day,"{""0"": 243, ""1"": 95, ""2"": 24, ""3"": 3}","{""0"": 254, ""1"": 85, ""2"": 22, ""3"": 3, ""4"": 1}","[0.666, 0.26, 0.066, 0.008]","[0.696, 0.233, 0.06, 0.008, 0.003]"
272,91,Evening,"{""0"": 208, ""1"": 106, ""2"": 34, ""3"": 16, ""5"": 1, ""4"": 0}","{""0"": 212, ""1"": 105, ""2"": 32, ""3"": 14, ""4"": 1, ""5"": 1}","[0.57, 0.29, 0.093, 0.044, 0.0, 0.003]","[0.581, 0.288, 0.088, 0.038, 0.003, 0.003]"
273,92,Morning,"{""0"": 245, ""1"": 90, ""2"": 26, ""3"": 4}","{""0"": 291, ""1"": 58, ""2"": 14, ""3"": 2}","[0.671, 0.247, 0.071, 0.011]","[0.797, 0.159, 0.038, 0.005]"
274,92,Day,"{""0"": 227, ""1"": 104, ""2"": 31, ""3"": 3}","{""0"": 233, ""1"": 90, ""2"": 35, ""3"": 6, ""4"": 1}","[0.622, 0.285, 0.085, 0.008]","[0.638, 0.247, 0.096, 0.016, 0.003]"
275,92,Evening,"{""0"": 162, ""1"": 113, ""2"": 60, ""3"": 22, ""4"": 6, ""5"": 1, ""9"": 1, ""6"": 0, ""7"": 0, ""8"": 0}","{""0"": 159, ""1"": 123, ""2"": 65, ""3"": 14, ""4"": 1, ""5"": 1, ""6"": 1, ""10"": 1, ""7"": 0, ""8"": 0, ""9"": 0}","[0.444, 0.31, 0.164, 0.06, 0.016, 0.003, 0.0, 0.0, 0.0, 0.003]","[0.436, 0.337, 0.178, 0.038, 0.003, 0.003, 0.003, 0.0, 0.0, 0.0, 0.003]"
276,93,Morning,"{""0"": 295, ""1"": 57, ""2"": 12, ""3"": 1}","{""0"": 191, ""1"": 100, ""2"": 56, ""3"": 9, ""4"": 7, ""7"": 2, ""5"": 0, ""6"": 0}","[0.808, 0.156, 0.033, 0.003]","[0.523, 0.274, 0.153, 0.025, 0.019, 0.0, 0.0, 0.005]"
277,93,Day,"{""0"": 207, ""1"": 103, ""2"": 39, ""3"": 13, ""4"": 2, ""6"": 1, ""5"": 0}","{""0"": 209, ""1"": 103, ""2"": 40, ""3"": 10, ""4"": 3}","[0.567, 0.282, 0.107, 0.036, 0.005, 0.0, 0.003]","[0.573, 0.282, 0.11, 0.027, 0.008]"
278,93,Evening,"{""0"": 161, ""1"": 110, ""2"": 58, ""3"": 24, ""4"": 10, ""5"": 1, ""7"": 1, ""6"": 0}","{""0"": 219, ""1"": 97, ""2"": 38, ""3"": 11}","[0.441, 0.301, 0.159, 0.066, 0.027, 0.003, 0.0, 0.003]","[0.6, 0.266, 0.104, 0.03]"
279,94,Morning,"{""0"": 353, ""1"": 12}","{""0"": 328, ""1"": 36, ""3"": 1, ""2"": 0}","[0.967, 0.033]","[0.899, 0.099, 0.0, 0.003]"
280,94,Day,"{""0"": 328, ""1"": 32, ""2"": 4, ""3"": 1}","{""0"": 308, ""1"": 52, ""2"": 4, ""3"": 1}","[0.899, 0.088, 0.011, 0.003]","[0.844, 0.142, 0.011, 0.003]"
281,94,Evening,"{""0"": 277, ""1"": 69, ""2"": 17, ""3"": 2}","{""0"": 308, ""1"": 50, ""2"": 6, ""3"": 1}","[0.759, 0.189, 0.047, 0.005]","[0.844, 0.137, 0.016, 0.003]"
282,95,Morning,"{""0"": 344, ""1"": 19, ""2"": 2}","{""0"": 337, ""1"": 25, ""2"": 3}","[0.942, 0.052, 0.005]","[0.923, 0.068, 0.008]"
283,95,Day,"{""0"": 338, ""1"": 25, ""2"": 2}","{""0"": 345, ""1"": 18, ""2"": 2}","[0.926, 0.068, 0.005]","[0.945, 0.049, 0.005]"
284,95,Evening,"{""0"": 326, ""1"": 33, ""2"": 6}","{""0"": 322, ""1"": 39, ""2"": 3, ""3"": 1}","[0.893, 0.09, 0.016]","[0.882, 0.107, 0.008, 0.003]"
285,96,Morning,"{""0"": 242, ""1"": 101, ""2"": 22}","{""0"": 339, ""1"": 26}","[0.663, 0.277, 0.06]","[0.929, 0.071]"
286,96,Day,"{""0"": 313, ""1"": 45, ""2"": 6, ""3"": 1}","{""0"": 289, ""1"": 58, ""2"": 17, ""3"": 1}","[0.858, 0.123, 0.016, 0.003]","[0.792, 0.159, 0.047, 0.003]"
287,96,Evening,"{""0"": 207, ""1"": 111, ""2"": 32, ""3"": 10, ""4"": 4, ""5"": 1}","{""0"": 173, ""1"": 116, ""2"": 55, ""3"": 18, ""4"": 3}","[0.567, 0.304, 0.088, 0.027, 0.011, 0.003]","[0.474, 0.318, 0.151, 0.049, 0.008]"
288,97,Morning,"{""0"": 277, ""1"": 74, ""2"": 12, ""3"": 2}","{""0"": 292, ""1"": 60, ""2"": 9, ""3"": 4}","[0.759, 0.203, 0.033, 0.005]","[0.8, 0.164, 0.025, 0.011]"
289,97,Day,"{""0"": 249, ""1"": 87, ""2"": 21, ""3"": 7, ""4"": 1}","{""0"": 231, ""1"": 89, ""2"": 36, ""3"": 6, ""4"": 2, ""5"": 1}","[0.682, 0.238, 0.058, 0.019, 0.003]","[0.633, 0.244, 0.099, 0.016, 0.005, 0.003]"
290,97,Evening,"{""0"": 190, ""1"": 99, ""2"": 49, ""3"": 20, ""4"": 6, ""5"": 1}","{""0"": 187, ""1"": 101, ""2"": 53, ""3"": 22, ""4"": 2}","[0.521, 0.271, 0.134, 0.055, 0.016, 0.003]","[0.512, 0.277, 0.145, 0.06, 0.005]"
291,98,Morning,"{""0"": 339, ""1"": 25, ""2"": 1}","{""0"": 354, ""1"": 10, ""2"": 1}","[0.929, 0.068, 0.003]","[0.97, 0.027, 0.003]"
292,98,Day,"{""0"": 327, ""1"": 31, ""2"": 7}","{""0"": 330, ""1"": 32, ""2"": 2, ""4"": 1, ""3"": 0}","[0.896, 0.085, 0.019]","[0.904, 0.088, 0.005, 0.0, 0.003]"
293,98,Evening,"{""0"": 324, ""1"": 36, ""2"": 5}","{""0"": 299, ""1"": 56, ""2"": 8, ""3"": 2}","[0.888, 0.099, 0.014]","[0.819, 0.153, 0.022, 0.005]"
294,99,Morning,"{""0"": 343, ""1"": 21, ""2"": 1}","{""0"": 316, ""1"": 43, ""2"": 5, ""3"": 1}","[0.94, 0.058, 0.003]","[0.866, 0.118, 0.014, 0.003]"
295,99,Day,"{""0"": 344, ""1"": 17, ""2"": 4}","{""0"": 334, ""1"": 26, ""2"": 5}","[0.942, 0.047, 0.011]","[0.915, 0.071, 0.014]"
296,99,Evening,"{""0"": 320, ""1"": 40, ""2"": 5}","{""0"": 339, ""1"": 25, ""2"": 1}","[0.877, 0.11, 0.014]","[0.929, 0.068, 0.003]"
297,100,Morning,"{""0"": 348, ""1"": 17}","{""0"": 301, ""1"": 62, ""2"": 2}","[0.953, 0.047]","[0.825, 0.17, 0.005]"
298,100,Day,"{""0"": 323, ""1"": 39, ""2"": 2, ""3"": 1}","{""0"": 345, ""1"": 19, ""2"": 1}","[0.885, 0.107, 0.005, 0.003]","[0.945, 0.052, 0.003]"
299,100,Evening,"{""0"": 316, ""1"": 42, ""2"": 7}","{""0"": 307, ""1"": 51, ""2"": 6, ""3"": 1}","[0.866, 0.115, 0.019]","[0.841, 0.14, 0.016, 0.003]"
300,101,Morning,"{""0"": 364, ""1"": 1}","{""0"": 349, ""1"": 16}","[0.997, 0.003]","[0.956, 0.044]"
301,101,Day,"{""0"": 349, ""1"": 14, ""2"": 2}","{""0"": 349, ""1"": 14, ""2"": 2}","[0.956, 0.038, 0.005]","[0.956, 0.038, 0.005]"
302,101,Evening,"{""0"": 326, ""1"": 37, ""2"": 2}","{""0"": 335, ""1"": 25, ""2"": 5}","[0.893, 0.101, 0.005]","[0.918, 0.068, 0.014]"
303,102,Morning,"{""0"": 247, ""1"": 87, ""2"": 26, ""3"": 2, ""4"": 2, ""5"": 1}","{""0"": 311, ""1"": 48, ""2"": 6}","[0.677, 0.238, 0.071, 0.005, 0.005, 0.003]","[0.852, 0.132, 0.016]"
304,102,Day,"{""0"": 246, ""1"": 81, ""2"": 30, ""3"": 7, ""4"": 1}","{""0"": 233, ""1"": 96, ""2"": 30, ""3"": 4, ""4"": 2}","[0.674, 0.222, 0.082, 0.019, 0.003]","[0.638, 0.263, 0.082, 0.011, 0.005]"
305,102,Evening,"{""0"": 160, ""1"": 101, ""2"": 61, ""3"": 26, ""4"": 13, ""5"": 3, ""6"": 1}","{""0"": 146, ""1"": 91, ""2"": 56, ""3"": 41, ""4"": 18, ""5"": 8, ""6"": 4, ""7"": 1}","[0.438, 0.277, 0.167, 0.071, 0.036, 0.008, 0.003]","[0.4, 0.249, 0.153, 0.112, 0.049, 0.022, 0.011, 0.003]"
306,103,Morning,"{""0"": 220, ""1"": 84, ""2"": 34, ""3"": 15, ""4"": 8, ""5"": 4}","{""0"": 298, ""1"": 52, ""2"": 10, ""3"": 3, ""4"": 1, ""5"": 1}","[0.603, 0.23, 0.093, 0.041, 0.022, 0.011]","[0.816, 0.142, 0.027, 0.008, 0.003, 0.003]"
