,Zone,Period,Pickup occurences,Delivery occurences
127,43,Day,"{""0"": 339, ""1"": 24, ""2"": 1, ""3"": 1}","{""0"": 331, ""1"": 31, ""2"": 2, ""3"": 1}"
128,43,Evening,"{""0"": 305, ""1"": 57, ""2"": 2, ""3"": 1}","{""0"": 301, ""1"": 55, ""2"": 8, ""3"": 1}"
129,44,Morning,"{""0"": 346, ""1"": 19}","{""0"": 335, ""1"": 29, ""2"": 1}"
130,44,Day,"{""0"": 320, ""1"": 40, ""2"": 4, ""3"": 1}","{""0"": 313, ""1"": 43, ""2"": 9}"
131,44,Evening,"{""0"": 295, ""1"": 58, ""2"": 9, ""3"": 2, ""4"": 1}","{""0"": 294, ""1"": 61, ""2"": 8, ""3"": 2}"
132,45,Morning,"{""0"": 338, ""1"": 26, ""2"": 1}","{""0"": 316, ""1"": 43, ""2"": 6}"
133,45,Day,"{""0"": 313, ""1"": 43, ""2"": 7, ""3"": 2}","{""0"": 317, ""1"": 42, ""2"": 4, ""3"": 2}"
134,45,Evening,"{""0"": 269, ""1"": 75, ""2"": 19, ""3"": 2}","{""0"": 277, ""1"": 72, ""2"": 14, ""3"": 2}"
135,46,Morning,"{""0"": 348, ""1"": 17}","{""0"": 314, ""1"": 49, ""2"": 2}"
136,46,Day,"{""0"": 324, ""1"": 38, ""2"": 3}","{""0"": 341, ""1"": 22, ""2"": 2}"
137,46,Evening,"{""0"": 320, ""1"": 35, ""2"": 10}","{""0"": 318, ""1"": 40, ""2"": 7}"
138,47,Morning,"{""0"": 316, ""1"": 40, ""2"": 9}","{""0"": 347, ""1"": 16, ""2"": 2}"
139,47,Day,"{""0"": 307, ""1"": 50, ""2"": 7, ""3"": 1}","{""0"": 318, ""1"": 41, ""2"": 6}"
140,47,Evening,"{""0"": 283, ""1"": 64, ""2"": 17, ""3"": 1}","{""0"": 236, ""1"": 96, ""2"": 29, ""3"": 4}"
141,48,Morning,"{""0"": 284, ""1"": 67, ""2"": 14}","{""0"": 339, ""1"": 24, ""2"": 2}"
142,48,Day,"{""0"": 290, ""1"": 58, ""2"": 12, ""3"": 3, ""4"": 2}","{""0"": 285, ""1"": 64, ""2"": 13, ""3"": 2, ""4"": 1}"
143,48,Evening,"{""0"": 225, ""1"": 106, ""2"": 25, ""3"": 7, ""4"": 2}","{""0"": 189, ""1"": 113, ""2"": 48, ""3"": 13, ""4"": 1, ""5"": 1}"
144,49,Morning,"{""0"": 282, ""1"": 64, ""2"": 17, ""3"": 1, ""4"": 1}","{""0"": 327, ""1"": 37, ""2"": 1}"
145,49,Day,"{""0"": 270, ""1"": 75, ""2"": 17, ""3"": 3}","{""0"": 272, ""1"": 77, ""2"": 12, ""3"": 4}"
146,49,Evening,"{""0"": 206, ""1"": 103, ""2"": 44, ""3"": 7, ""4"": 2, ""5"": 2, ""6"": 1}","{""0"": 181, ""1"": 95, ""2"": 59, ""3"": 23, ""4"": 6, ""6"": 1}"
147,50,Morning,"{""0"": 339, ""1"": 23, ""2"": 1, ""3"": 2}","{""0"": 349, ""1"": 15, ""5"": 1}"
148,50,Day,"{""0"": 319, ""1"": 44, ""2"": 2}","{""0"": 322, ""1"": 40, ""2"": 3}"
149,50,Evening,"{""0"": 262, ""1"": 80, ""2"": 20, ""3"": 2, ""4"": 1}","{""0"": 252, ""1"": 90, ""2"": 19, ""3"": 3, ""5"": 1}"
150,51,Morning,"{""0"": 194, ""1"": 112, ""2"": 48, ""3"": 8, ""4"": 3}","{""0"": 268, ""1"": 79, ""2"": 16, ""3"": 2}"
151,51,Day,"{""0"": 177, ""1"": 103, ""2"": 59, ""3"": 15, ""4"": 9, ""5"": 1, ""6"": 1}","{""0"": 181, ""1"": 101, ""2"": 46, ""3"": 23, ""4"": 9, ""5"": 5}"
152,51,Evening,"{""0"": 84, ""1"": 101, ""2"": 75, ""3"": 51, ""4"": 27, ""5"": 19, ""6"": 3, ""7"": 4, ""8"": 1}","{""0"": 81, ""1"": 76, ""2"": 80, ""3"": 64, ""4"": 38, ""5"": 12, ""6"": 6, ""7"": 5, ""8"": 1, ""9"": 2}"
153,52,Morning,"{""0"": 127, ""1"": 105, ""2"": 57, ""3"": 42, ""4"": 22, ""5"": 11, ""7"": 1}","{""0"": 305, ""1"": 52, ""2"": 7, ""3"": 1}"
154,52,Day,"{""0"": 172, ""1"": 118, ""2"": 42, ""3"": 16, ""4"": 14, ""5"": 2, ""8"": 1}","{""0"": 177, ""1"": 123, ""2"": 42, ""3"": 17, ""4"": 6}"
155,52,Evening,"{""0"": 55, ""1"": 77, ""2"": 96, ""3"": 61, ""4"": 27, ""5"": 27, ""6"": 11, ""7"": 7, ""8"": 4}","{""0"": 41, ""1"": 57, ""2"": 76, ""3"": 73, ""4"": 51, ""5"": 30, ""6"": 20, ""7"": 12, ""8"": 1, ""9"": 1, ""10"": 2, ""11"": 1}"
156,53,Morning,"{""0"": 249, ""1"": 87, ""2"": 25, ""3"": 3, ""4"": 1}","{""0"": 324, ""1"": 39, ""2"": 2}"
157,53,Day,"{""0"": 258, ""1"": 82, ""2"": 20, ""3"": 3, ""4"": 2}","{""0"": 292, ""1"": 58, ""2"": 10, ""3"": 2, ""4"": 2, ""5"": 1}"
158,53,Evening,"{""0"": 195, ""1"": 112, ""2"": 50, ""3"": 6, ""4"": 2}","{""0"": 187, ""1"": 108, ""2"": 53, ""3"": 14, ""4"": 3}"
159,54,Morning,"{""0"": 189, ""1"": 121, ""2"": 41, ""3"": 12, ""4"": 2}","{""0"": 282, ""1"": 80, ""2"": 3}"
160,54,Day,"{""0"": 278, ""1"": 70, ""2"": 17}","{""0"": 276, ""1"": 73, ""2"": 15, ""3"": 1}"
161,54,Evening,"{""0"": 197, ""1"": 119, ""2"": 41, ""3"": 6, ""4"": 1, ""5"": 1}","{""0"": 146, ""1"": 92, ""2"": 87, ""3"": 27, ""4"": 11, ""5"": 1, ""6"": 1}"
162,55,Morning,"{""0"": 273, ""1"": 78, ""2"": 12, ""3"": 2}","{""0"": 347, ""1"": 18}"
163,55,Day,"{""0"": 279, ""1"": 68, ""2"": 15, ""3"": 2, ""4"": 1}","{""0"": 250, ""1"": 103, ""2"": 10, ""3"": 2}"
164,55,Evening,"{""0"": 244, ""1"": 89, ""2"": 26, ""3"": 4, ""4"": 2}","{""0"": 197, ""1"": 114, ""2"": 38, ""3"": 13, ""4"": 3}"
165,56,Morning,"{""0"": 341, ""1"": 23, ""2"": 1}","{""0"": 330, ""1"": 31, ""2"": 4}"
166,56,Day,"{""0"": 279, ""1"": 78, ""2"": 8}","{""0"": 270, ""1"": 86, ""2"": 7, ""3"": 2}"
167,56,Evening,"{""0"": 245, ""1"": 90, ""2"": 26, ""3"": 4}","{""0"": 266, ""1"": 76, ""2"": 20, ""3"": 2, ""4"": 1}"
168,57,Morning,"{""0"": 356, ""1"": 9}","{""0"": 349, ""1"": 16}"
169,57,Day,"{""0"": 338, ""1"": 24, ""2"": 3}","{""0"": 336, ""1"": 27, ""2"": 2}"
170,57,Evening,"{""0"": 334, ""1"": 27, ""2"": 3, ""3"": 1}","{""0"": 340, ""1"": 22, ""2"": 3}"
171,58,Morning,"{""0"": 321, ""1"": 43, ""2"": 1}","{""0"": 306, ""1"": 52, ""2"": 6, ""3"": 1}"
172,58,Day,"{""0"": 289, ""1"": 67, ""2"": 7, ""3"": 2}","{""0"": 300, ""1"": 51, ""2"": 14}"
173,58,Evening,"{""0"": 254, ""1"": 94, ""2"": 15, ""3"": 2}","{""0"": 260, ""1"": 81, ""2"": 17, ""3"": 6, ""4"": 1}"
174,59,Morning,"{""0"": 332, ""1"": 29, ""2"": 3, ""3"": 1}","{""0"": 349, ""1"": 15, ""4"": 1}"
175,59,Day,"{""0"": 314, ""1"": 44, ""2"": 5, ""3"": 2}","{""0"": 313, ""1"": 46, ""2"": 4, ""3"": 2}"
176,59,Evening,"{""0"": 270, ""1"": 74, ""2"": 17, ""3"": 3, ""4"": 1}","{""0"": 264, ""1"": 68, ""2"": 26, ""3"": 6, ""4"": 1}"
177,60,Morning,"{""0"": 357, ""1"": 7, ""2"": 1}","{""0"": 357, ""1"": 8}"
178,60,Day,"{""0"": 342, ""1"": 21, ""2"": 1, ""3"": 1}","{""0"": 346, ""1"": 15, ""2"": 3, ""3"": 1}"
179,60,Evening,"{""0"": 339, ""1"": 21, ""2"": 4, ""3"": 1}","{""0"": 334, ""1"": 24, ""2"": 5, ""3"": 2}"
180,61,Morning,"{""0"": 345, ""1"": 18, ""2"": 2}","{""0"": 355, ""1"": 10}"
181,61,Day,"{""0"": 341, ""1"": 22, ""2"": 2}","{""0"": 339, ""1"": 25, ""2"": 1}"
182,61,Evening,"{""0"": 336, ""1"": 25, ""2"": 4}","{""0"": 322, ""1"": 39, ""2"": 4}"
183,62,Morning,"{""0"": 230, ""1"": 82, ""2"": 32, ""3"": 12, ""4"": 9}","{""0"": 318, ""1"": 41, ""2"": 5, ""3"": 1}"
184,62,Day,"{""0"": 271, ""1"": 75, ""2"": 17, ""3"": 2}","{""0"": 284, ""1"": 64, ""2"": 16, ""3"": 1}"
