,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
4862,203,14,"{""0"": 349, ""1"": 15, ""2"": 1}","{""0"": 351, ""1"": 12, ""2"": 2}","[0.956, 0.041, 0.003]","[0.962, 0.033, 0.005]"
4863,203,15,"{""0"": 350, ""1"": 14, ""2"": 1}","{""0"": 349, ""1"": 15, ""2"": 1}","[0.959, 0.038, 0.003]","[0.956, 0.041, 0.003]"
4864,203,16,"{""0"": 350, ""1"": 15}","{""0"": 350, ""1"": 14, ""3"": 1, ""2"": 0}","[0.959, 0.041]","[0.959, 0.038, 0.0, 0.003]"
4865,203,17,"{""0"": 351, ""1"": 12, ""2"": 2}","{""0"": 354, ""1"": 10, ""2"": 1}","[0.962, 0.033, 0.005]","[0.97, 0.027, 0.003]"
4866,203,18,"{""0"": 357, ""1"": 7, ""2"": 1}","{""0"": 357, ""1"": 8}","[0.978, 0.019, 0.003]","[0.978, 0.022]"
4867,203,19,"{""0"": 359, ""1"": 6}","{""0"": 359, ""1"": 5, ""2"": 1}","[0.984, 0.016]","[0.984, 0.014, 0.003]"
4868,203,20,"{""0"": 360, ""1"": 5}","{""0"": 362, ""1"": 2, ""2"": 1}","[0.986, 0.014]","[0.992, 0.005, 0.003]"
4869,203,21,"{""0"": 360, ""1"": 4, ""2"": 1}","{""0"": 359, ""1"": 5, ""2"": 1}","[0.986, 0.011, 0.003]","[0.984, 0.014, 0.003]"
4870,203,22,"{""0"": 357, ""1"": 8}","{""0"": 357, ""1"": 7, ""2"": 1}","[0.978, 0.022]","[0.978, 0.019, 0.003]"
4871,203,23,"{""0"": 361, ""1"": 4}","{""0"": 363, ""1"": 2}","[0.989, 0.011]","[0.995, 0.005]"
4872,204,0,"{""0"": 350, ""1"": 12, ""2"": 3}","{""0"": 322, ""1"": 38, ""2"": 5}","[0.959, 0.033, 0.008]","[0.882, 0.104, 0.014]"
4873,204,1,"{""0"": 358, ""1"": 6, ""2"": 1}","{""0"": 342, ""1"": 21, ""2"": 2}","[0.981, 0.016, 0.003]","[0.937, 0.058, 0.005]"
4874,204,2,"{""0"": 360, ""1"": 4, ""2"": 1}","{""0"": 356, ""1"": 8, ""2"": 1}","[0.986, 0.011, 0.003]","[0.975, 0.022, 0.003]"
4875,204,3,"{""0"": 359, ""1"": 5, ""2"": 1}","{""0"": 357, ""1"": 7, ""2"": 1}","[0.984, 0.014, 0.003]","[0.978, 0.019, 0.003]"
4876,204,4,"{""0"": 351, ""1"": 12, ""2"": 1, ""3"": 1}","{""0"": 344, ""1"": 18, ""2"": 2, ""3"": 1}","[0.962, 0.033, 0.003, 0.003]","[0.942, 0.049, 0.005, 0.003]"
4877,204,5,"{""0"": 338, ""1"": 22, ""2"": 4, ""3"": 1}","{""0"": 241, ""1"": 75, ""2"": 37, ""3"": 11, ""4"": 1}","[0.926, 0.06, 0.011, 0.003]","[0.66, 0.205, 0.101, 0.03, 0.003]"
4878,204,6,"{""0"": 304, ""1"": 48, ""2"": 10, ""3"": 3}","{""0"": 154, ""1"": 47, ""2"": 47, ""3"": 30, ""4"": 34, ""5"": 24, ""6"": 13, ""7"": 8, ""8"": 5, ""10"": 2, ""12"": 1, ""9"": 0, ""11"": 0}","[0.833, 0.132, 0.027, 0.008]","[0.422, 0.129, 0.129, 0.082, 0.093, 0.066, 0.036, 0.022, 0.014, 0.0, 0.005, 0.0, 0.003]"
4879,204,7,"{""0"": 228, ""1"": 81, ""2"": 36, ""3"": 13, ""4"": 3, ""5"": 4}","{""0"": 128, ""1"": 29, ""2"": 27, ""3"": 26, ""4"": 24, ""5"": 24, ""6"": 30, ""7"": 15, ""8"": 17, ""9"": 20, ""10"": 12, ""11"": 8, ""12"": 3, ""13"": 1, ""14"": 1}","[0.625, 0.222, 0.099, 0.036, 0.008, 0.011]","[0.351, 0.079, 0.074, 0.071, 0.066, 0.066, 0.082, 0.041, 0.047, 0.055, 0.033, 0.022, 0.008, 0.003, 0.003]"
4880,204,8,"{""0"": 216, ""1"": 93, ""2"": 30, ""3"": 19, ""4"": 5, ""5"": 1, ""9"": 1, ""6"": 0, ""7"": 0, ""8"": 0}","{""0"": 125, ""1"": 32, ""2"": 23, ""3"": 40, ""4"": 31, ""5"": 35, ""6"": 25, ""7"": 23, ""8"": 12, ""9"": 10, ""10"": 4, ""11"": 1, ""12"": 1, ""13"": 1, ""14"": 2}","[0.592, 0.255, 0.082, 0.052, 0.014, 0.003, 0.0, 0.0, 0.0, 0.003]","[0.342, 0.088, 0.063, 0.11, 0.085, 0.096, 0.068, 0.063, 0.033, 0.027, 0.011, 0.003, 0.003, 0.003, 0.005]"
4881,204,9,"{""0"": 253, ""1"": 82, ""2"": 20, ""3"": 5, ""4"": 3, ""8"": 2, ""5"": 0, ""6"": 0, ""7"": 0}","{""0"": 153, ""1"": 82, ""2"": 59, ""3"": 34, ""4"": 19, ""5"": 11, ""6"": 5, ""7"": 2}","[0.693, 0.225, 0.055, 0.014, 0.008, 0.0, 0.0, 0.0, 0.005]","[0.419, 0.225, 0.162, 0.093, 0.052, 0.03, 0.014, 0.005]"
4882,204,10,"{""0"": 228, ""1"": 87, ""2"": 33, ""3"": 11, ""4"": 5, ""5"": 1}","{""0"": 234, ""1"": 92, ""2"": 26, ""3"": 10, ""4"": 2, ""5"": 1}","[0.625, 0.238, 0.09, 0.03, 0.014, 0.003]","[0.641, 0.252, 0.071, 0.027, 0.005, 0.003]"
4883,204,11,"{""0"": 196, ""1"": 109, ""2"": 41, ""3"": 17, ""4"": 1, ""5"": 1}","{""0"": 231, ""1"": 87, ""2"": 34, ""3"": 7, ""4"": 4, ""5"": 1, ""6"": 1}","[0.537, 0.299, 0.112, 0.047, 0.003, 0.003]","[0.633, 0.238, 0.093, 0.019, 0.011, 0.003, 0.003]"
4884,204,12,"{""0"": 194, ""1"": 110, ""2"": 42, ""3"": 12, ""4"": 5, ""5"": 2}","{""0"": 214, ""1"": 92, ""2"": 47, ""3"": 8, ""4"": 4}","[0.532, 0.301, 0.115, 0.033, 0.014, 0.005]","[0.586, 0.252, 0.129, 0.022, 0.011]"
4885,204,13,"{""0"": 179, ""1"": 107, ""2"": 46, ""3"": 23, ""4"": 7, ""5"": 3}","{""0"": 222, ""1"": 102, ""2"": 32, ""3"": 7, ""4"": 2}","[0.49, 0.293, 0.126, 0.063, 0.019, 0.008]","[0.608, 0.279, 0.088, 0.019, 0.005]"
4886,204,14,"{""0"": 126, ""1"": 76, ""2"": 65, ""3"": 36, ""4"": 22, ""5"": 16, ""6"": 13, ""7"": 5, ""8"": 4, ""9"": 1, ""11"": 1, ""10"": 0}","{""0"": 224, ""1"": 102, ""2"": 32, ""3"": 5, ""4"": 1, ""5"": 1}","[0.345, 0.208, 0.178, 0.099, 0.06, 0.044, 0.036, 0.014, 0.011, 0.003, 0.0, 0.003]","[0.614, 0.279, 0.088, 0.014, 0.003, 0.003]"
4887,204,15,"{""0"": 108, ""1"": 45, ""2"": 43, ""3"": 49, ""4"": 44, ""5"": 24, ""6"": 16, ""7"": 14, ""8"": 14, ""9"": 7, ""10"": 1}","{""0"": 221, ""1"": 97, ""2"": 33, ""3"": 10, ""4"": 3, ""6"": 1, ""5"": 0}","[0.296, 0.123, 0.118, 0.134, 0.121, 0.066, 0.044, 0.038, 0.038, 0.019, 0.003]","[0.605, 0.266, 0.09, 0.027, 0.008, 0.0, 0.003]"
4888,204,16,"{""0"": 122, ""1"": 60, ""2"": 49, ""3"": 59, ""4"": 25, ""5"": 26, ""6"": 15, ""7"": 5, ""8"": 4}","{""0"": 220, ""1"": 103, ""2"": 32, ""3"": 7, ""4"": 2, ""5"": 1}","[0.334, 0.164, 0.134, 0.162, 0.068, 0.071, 0.041, 0.014, 0.011]","[0.603, 0.282, 0.088, 0.019, 0.005, 0.003]"
4889,204,17,"{""0"": 164, ""1"": 102, ""2"": 53, ""3"": 21, ""4"": 15, ""5"": 7, ""6"": 3}","{""0"": 236, ""1"": 100, ""2"": 24, ""3"": 4, ""4"": 1}","[0.449, 0.279, 0.145, 0.058, 0.041, 0.019, 0.008]","[0.647, 0.274, 0.066, 0.011, 0.003]"
4890,204,18,"{""0"": 217, ""1"": 100, ""2"": 27, ""3"": 14, ""4"": 5, ""5"": 2}","{""0"": 254, ""1"": 89, ""2"": 19, ""3"": 3}","[0.595, 0.274, 0.074, 0.038, 0.014, 0.005]","[0.696, 0.244, 0.052, 0.008]"
4891,204,19,"{""0"": 259, ""1"": 81, ""2"": 18, ""3"": 5, ""4"": 2}","{""0"": 261, ""1"": 78, ""2"": 22, ""3"": 4}","[0.71, 0.222, 0.049, 0.014, 0.005]","[0.715, 0.214, 0.06, 0.011]"
4892,204,20,"{""0"": 285, ""1"": 65, ""2"": 12, ""3"": 1, ""4"": 2}","{""0"": 285, ""1"": 64, ""2"": 12, ""3"": 3, ""4"": 1}","[0.781, 0.178, 0.033, 0.003, 0.005]","[0.781, 0.175, 0.033, 0.008, 0.003]"
4893,204,21,"{""0"": 299, ""1"": 57, ""2"": 6, ""3"": 3}","{""0"": 305, ""1"": 52, ""2"": 5, ""3"": 3}","[0.819, 0.156, 0.016, 0.008]","[0.836, 0.142, 0.014, 0.008]"
4894,204,22,"{""0"": 320, ""1"": 37, ""2"": 7, ""3"": 1}","{""0"": 302, ""1"": 54, ""2"": 8, ""3"": 1}","[0.877, 0.101, 0.019, 0.003]","[0.827, 0.148, 0.022, 0.003]"
4895,204,23,"{""0"": 349, ""1"": 15, ""2"": 1}","{""0"": 332, ""1"": 30, ""2"": 2, ""3"": 1}","[0.956, 0.041, 0.003]","[0.91, 0.082, 0.005, 0.003]"
4896,205,0,"{""0"": 364, ""1"": 1}","{""0"": 362, ""1"": 3}","[0.997, 0.003]","[0.992, 0.008]"
4897,205,1,"{""0"": 362, ""1"": 3}","{""0"": 364, ""1"": 1}","[0.992, 0.008]","[0.997, 0.003]"
4898,205,2,"{""0"": 363, ""1"": 2}","{""0"": 365}","[0.995, 0.005]",[1.0]
4899,205,3,"{""0"": 365}","{""0"": 365}",[1.0],[1.0]
4900,205,4,"{""0"": 360, ""1"": 5}","{""0"": 365}","[0.986, 0.014]",[1.0]
4901,205,5,"{""0"": 355, ""1"": 10}","{""0"": 364, ""1"": 1}","[0.973, 0.027]","[0.997, 0.003]"
4902,205,6,"{""0"": 353, ""1"": 12}","{""0"": 362, ""1"": 3}","[0.967, 0.033]","[0.992, 0.008]"
4903,205,7,"{""0"": 350, ""1"": 15}","{""0"": 360, ""1"": 5}","[0.959, 0.041]","[0.986, 0.014]"
4904,205,8,"{""0"": 352, ""1"": 13}","{""0"": 361, ""1"": 3, ""2"": 1}","[0.964, 0.036]","[0.989, 0.008, 0.003]"
4905,205,9,"{""0"": 356, ""1"": 9}","{""0"": 360, ""1"": 4, ""2"": 1}","[0.975, 0.025]","[0.986, 0.011, 0.003]"
4906,205,10,"{""0"": 355, ""1"": 10}","{""0"": 356, ""1"": 9}","[0.973, 0.027]","[0.975, 0.025]"
4907,205,11,"{""0"": 354, ""1"": 11}","{""0"": 356, ""1"": 9}","[0.97, 0.03]","[0.975, 0.025]"
